NaCl,PSL
90.2214448,98.972
90.1573248,99.358
92.330432,98.872
88.547448,99.6
88.226256,99.018
89.2541504,99.25
93.8123696,99.876
90.8482736,99.712
81.1014608,99.238
89.8195616,99.872
87.1709312,99.322
89.0328288,99.294
92.4495136,99.494
90.8241728,99.514
92.4082944,99.446
89.4253168,99.156
91.9916032,98.932
95.0479488,99.706
85.9736096,99.23
79.2252096,99.458
93.036896,99.412
91.7405712,99.204
91.7718608,99.332
82.7139456,99.754
88.1153536,99.824
87.5486256,99.2
90.5438384,99.292
90.4678688,99.326
90.8669856,99.46
87.6346928,99.178
91.3731984,99.656
90.8825104,99.512
91.5179504,99.822
91.0280128,99.44
82.7816944,99.066
82.4339696,99.414
89.6534112,99.624
89.6534112,99.446
84.9840464,99.11
86.3099696,99.262
85.1643952,98.738
90.008688,98.978
93.7970864,99.11
85.9800976,99.356
85.8124624,99.516
86.385936,99.044
83.595632,99.344
85.5140272,99.572
92.5469824,99.764
77.2366432,99.346
90.080424,99.41
92.9312416,99.856
86.8166832,99.644
88.0899584,99.384
91.459072,99.784
94.6778352,99.714
91.941984,99.774
82.7120208,99.024
85.4149424,99.842
85.4149424,99.914
83.4180656,99.756
90.2902384,99.54
83.9219808,99.836
89.6545728,98.832
92.677024,99.37
90.2913712,99.278
90.8140976,99.452
91.0006112,99.912
93.5187152,99.75
88.9710576,99.382
92.0357264,99.784
91.3430832,99.828
89.1792272,99.826
91.69172,99.48
94.2272832,99.832
94.173856,99.674
92.0274672,99.56
92.856344,99.756
93.7235088,99.862
92.8395328,99.424
93.7560336,99.868
91.3202112,99.83
94.0706048,99.686
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
94.3045008,99.544
94.2875344,99.82
94.2971936,99.764
94.2563888,99.684
92.8267712,98.974
91.817112,98.808
93.1972736,99.754
93.4711344,99.734
92.0067728,99.668
92.9856672,99.484
94.884256,99.318
0,0
91.68408,99.766
94.1277616,99.67
90.0680784,98.322
92.3890208,99.834
92.8316992,98.666
91.8000112,99.412
93.5897696,99.75
94.1953152,99.646
93.23072,99.654
93.6654688,99.78
